ticker,setup,score,price,entry,stop,target_2r,target_3r,risk_pct,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy
KYMR,Pullback to 20-day,0.515,117.66999816894531,119.77,110.15,139.01,148.63,8.03,52.9,-2.89,0.818,-4.56
SW,Trend reset at 50-day,0.514,45.40999984741211,46.53,43.51,52.57,55.59,6.49,49.5,1.84,1.057,-7.77
EW,Trend reset at 50-day,0.514,88.33999633789062,88.69,84.16,97.75,102.28,5.11,49.3,0.19,0.972,-7.14
CNQ,Pullback to 20-day,0.513,48.279998779296875,49.31,47.71,52.51,54.11,3.24,44.8,-1.43,1.103,17.41
TECK,Pullback to 20-day,0.513,66.76000213623047,67.4,62.5,77.2,82.1,7.27,51.3,-3.97,0.875,7.71
ABBV,Breakout ready,0.513,264.4800109863281,266.88,255.86,288.92,299.94,4.13,59.6,-3.47,0.87,3.95
CME,Pullback to 20-day,0.513,275.5299987792969,278.02,268.07,297.92,307.87,3.58,53.0,-3.6,0.984,17.43
MT,Pullback to 20-day,0.513,72.54000091552734,73.47,71.0,78.41,80.88,3.36,46.5,-0.94,1.085,11.98
BNS,Breakout ready,0.51,95.3499984741211,95.64,92.65,101.62,104.61,3.13,64.1,-5.68,0.779,5.71
BIIB,Breakout ready,0.51,219.07000732421875,222.21,210.44,245.75,257.52,5.3,54.9,-3.84,0.857,2.87
UGI,Pullback to 20-day,0.51,37.22999954223633,37.81,36.96,39.51,40.36,2.25,49.1,-1.54,0.972,1.35
BBY,Breakout ready,0.509,93.22000122070312,94.49,88.37,106.73,112.85,6.48,61.2,-8.59,0.723,16.91
DRI,Pullback to 20-day,0.508,211.30999755859375,213.51,204.47,231.59,240.63,4.23,48.4,-0.27,0.989,-5.48
LNTH,Trend reset at 50-day,0.508,100.27999877929688,100.98,100.04,102.86,103.8,0.93,44.2,1.43,1.012,-13.61
ARMK,Trend reset at 50-day,0.508,56.47999954223633,56.97,55.67,59.57,60.87,2.28,42.3,2.28,1.161,-2.29
EWBC,Trend reset at 50-day,0.508,127.7699966430664,128.54,123.67,138.28,143.15,3.79,45.0,2.26,1.121,-6.89
TGT,Pullback to 20-day,0.507,157.7100067138672,159.67,152.67,173.67,180.67,4.38,51.2,-3.97,0.911,8.26
BP,Trend reset at 50-day,0.507,43.15999984741211,44.76,42.85,48.58,50.49,4.27,44.5,0.05,1.155,10.23
SSB,Trend reset at 50-day,0.505,103.11000061035156,104.43,101.49,110.31,113.25,2.82,38.0,2.48,1.182,-2.65
XOM,Pullback to 20-day,0.505,158.3000030517578,162.15,156.96,172.53,177.72,3.2,44.9,-0.39,1.137,10.23
BLK,Trend reset at 50-day,0.505,1090.27001953125,1092.45,1041.59,1194.17,1245.03,4.66,48.7,1.14,1.199,7.15
HNGE,Breakout ready,0.503,94.44999694824219,96.02,88.14,111.78,119.66,8.21,58.7,-8.89,0.76,20.1
ESTC,Volatility coil,0.503,89.70999908447266,90.32,82.12,106.72,114.92,9.08,57.3,-15.97,0.739,61.77
CHRD,Trend reset at 50-day,0.502,139.42999267578125,143.52,137.73,155.1,160.89,4.03,42.5,0.04,1.194,12.13
TTEK,Pullback to 20-day,0.501,35.959999084472656,36.22,35.11,38.44,39.55,3.06,52.6,-3.72,1.071,21.1
NTR,Pullback to 20-day,0.5,74.54000091552734,77.15,72.46,86.53,91.22,6.08,47.3,-3.75,1.044,17.79
GLNG,Pullback to 20-day,0.5,51.36000061035156,51.81,49.52,56.39,58.68,4.42,50.0,-1.26,1.003,-2.49
CORT,Pullback to 20-day,0.499,113.76000213623047,116.92,106.92,136.92,146.92,8.55,52.5,-4.75,1.09,28.63
DIS,Pullback to 20-day,0.498,104.2300033569336,104.71,101.79,110.55,113.47,2.79,47.2,-1.31,1.046,1.52
CRL,Pullback to 20-day,0.497,279.010009765625,281.79,265.11,315.15,331.83,5.92,52.1,-5.52,1.031,25.57
TRGP,Pullback to 20-day,0.497,289.3599853515625,292.45,279.4,318.55,331.6,4.46,52.7,-2.82,0.961,0.71
OXY,Trend reset at 50-day,0.495,57.25,58.37,56.6,61.91,63.68,3.03,41.2,1.15,1.242,6.71
EOG,Trend reset at 50-day,0.495,141.3800048828125,143.51,139.5,151.53,155.54,2.79,42.8,2.03,1.245,1.02
ADM,Pullback to 20-day,0.493,83.37999725341797,86.54,82.39,94.84,98.99,4.8,49.1,-1.32,1.093,4.03
CHEF,Pullback to 20-day,0.492,110.69999694824219,112.85,104.96,128.63,136.52,6.99,51.7,-2.99,1.071,11.72
EL,Pullback to 20-day,0.492,96.33999633789062,96.71,92.25,105.63,110.09,4.61,50.8,-5.61,0.94,13.01
PCVX,Pullback to 20-day,0.49,58.91999816894531,60.64,56.48,68.96,73.12,6.86,47.8,-0.84,1.138,4.16
EPD,Pullback to 20-day,0.49,38.470001220703125,39.03,37.91,41.27,42.39,2.87,48.2,-0.37,1.131,0.38
MRK,Breakout ready,0.489,149.5,150.64,144.74,162.44,168.34,3.92,61.4,-8.6,0.798,14.27
ANF,Volatility coil,0.488,136.75999450683594,139.52,132.45,153.66,160.73,5.07,54.4,-16.16,0.679,47.46
DB,Pullback to 20-day,0.487,38.25,38.45,37.57,40.21,41.09,2.29,44.5,-0.73,1.171,5.66
TVTX,Pullback to 20-day,0.487,62.86000061035156,63.76,60.78,69.72,72.7,4.67,46.1,-1.87,1.066,0.89
CZR,Trend reset at 50-day,0.485,29.649999618530273,29.72,29.59,29.98,30.11,0.44,46.3,0.42,1.122,-8.1
VOYA,Pullback to 20-day,0.484,100.52999877929688,102.23,97.94,110.81,115.1,4.2,48.5,-0.44,1.216,7.25
SOLV,Pullback to 20-day,0.484,88.83999633789062,89.73,85.95,97.29,101.07,4.21,51.1,-2.91,1.09,8.41
OSCR,Pullback to 20-day,0.482,31.290000915527344,32.25,29.91,36.93,39.27,7.26,48.8,-1.76,1.118,3.54
CVX,Pullback to 20-day,0.482,203.6699981689453,209.19,202.31,222.95,229.83,3.29,46.7,-2.65,1.161,13.68
WAT,Breakout ready,0.48,423.9200134277344,428.32,405.82,473.32,495.82,5.25,60.3,-6.12,0.915,6.88
UNM,Pullback to 20-day,0.48,93.55999755859375,95.68,92.22,102.6,106.06,3.62,52.0,-3.15,1.024,0.24
NEM,Pullback to 20-day,0.48,123.05000305175781,124.67,118.94,136.13,141.86,4.6,51.4,-8.96,0.91,23.72
IQV,Breakout ready,0.478,269.8800048828125,271.15,257.63,298.19,311.71,4.99,64.3,-11.25,0.927,39.16
AGCO,Pullback to 20-day,0.477,119.9000015258789,122.5,116.73,134.04,139.81,4.71,53.2,-6.0,0.839,-4.42
SU,Pullback to 20-day,0.476,67.23999786376953,68.98,66.72,73.5,75.76,3.28,49.6,-2.66,1.239,18.89
VRSN,Breakout ready,0.474,308.17999267578125,308.65,293.92,338.11,352.84,4.77,67.6,-7.9,0.946,17.61
DE,Breakout ready,0.473,684.72998046875,695.85,663.91,759.73,791.67,4.59,60.9,-8.33,0.796,3.24
EGO,Pullback to 20-day,0.472,42.369998931884766,43.57,39.72,51.27,55.12,8.84,52.1,-10.79,0.935,33.87
JPM,Trend reset at 50-day,0.471,352.0400085449219,354.86,341.29,382.0,395.57,3.82,48.1,0.42,1.263,-0.08
GM,Trend reset at 50-day,0.469,83.94999694824219,85.02,80.72,93.62,97.92,5.06,46.8,1.03,1.322,1.52
SM,Pullback to 20-day,0.469,34.75,36.3,34.19,40.52,42.63,5.81,44.0,-1.92,1.378,26.2
TEAM,Breakout ready,0.469,195.6699981689453,198.91,181.49,233.75,251.17,8.76,67.7,-33.65,0.767,156.41
PR,Pullback to 20-day,0.468,21.969999313354492,22.62,21.75,24.36,25.23,3.85,42.8,-0.63,1.324,11.66
